    3.94     620     470   F
       3     770     590   M
     3.3     570     640   M
     3.8     500     620   F
     3.2     590     520   F
    3.62     640     520   F
     3.4     360     420   F
    3.45     750     650   M
       4     500     390   F
    3.65     650     550   F
    3.96     480     440   F
    3.91     740     570   F
     3.5     490     530   F
     2.6     480     460   M
    3.52     490     500   F
    3.87     480     520   F
     3.1     640     470   M
    3.65     620     560   F
    3.22     500     410   F
    3.37     580     560   F
    3.46     630     540   F
    3.88     650     650   F
    3.46     580     510   M
    2.99     560     430   F
     3.9     740     630   F
    3.71     710     720   M
    3.74     550     480   F
    3.28     670     490   M
    3.53     600     480   F
     3.7     580     590   M
    3.89     390     410   M
    3.35     590     500   F
    2.79     390     460   F
    3.75     510     490   F
    3.78     690     570   F
     3.5     430     450   M
    3.83     670     680   F
    3.32     620     590   F
    3.66     670     470   M
    3.87     590     630   M
    3.44     620     640   F
    3.31     540     440   F
    3.68     610     520   F
     3.3     690     410   F
    3.76     400     340   F
    3.42     440     330   F
    3.44     610     500   F
       4     560     460   F
    3.07     480     540   F
    3.29     650     460   F
    3.73     610     500   F
    3.23     630     570   M
    3.75     710     670   M
       4     760     650   F
     3.1     390     390   F
       4     600     540   F
    3.87     490     430   M
       4     710     470   F
     2.9     460     400   F
       4     550     470   F
     3.5     710     550   M
    3.78     570     600   F
     3.7     660     680   F
    3.45     680     670   F
       4     530     670   F
       4     730     600   F
    3.66     630     540   F
     3.8     670     580   M
    3.45     720     550   M
    3.91     600     610   M
    3.59     580     530   M
    3.95     650     640   M
    3.65     650     470   M
     3.8     700     540   F
    2.96     570     480   F
    3.62     410     390   F
     3.6     470     620   F
    3.95     790     690   M
    3.95     710     520   F
       3     360     370   F
     3.6     690     730   M
    3.78     710     560   M
     3.7     500     560   M
    3.84     600     550   F
    3.31     620     540   F
    3.45     520     540   F
    3.92     530     530   M
    3.53     640     690   F
    3.66     630     560   F
    3.82     620     540   M
       4     720     580   F
    3.89     560     410   M
    3.68     490     580   F
       4     500     630   F
    3.96     530     390   F
    3.47     690     720   M
    3.88     530     450   F
    2.92     450     350   F
    3.52     660     580   F
    3.84     710     520   M
    3.94     670     500   F
       4     790     730   F
    3.43     700     550   F
    3.75     240     220   F
     3.1     540     520   F
    3.47     560     490   F
    3.77     670     650   F
    3.97     610     560   F
    3.91     580     650   F
     3.2     340     380   F
    3.67     690     520   F
       4     510     390   F
    3.95     760     570   M
    3.85     690     720   F
    3.17     320     250   M
    3.03     640     370   F
    3.34     630     390   F
    3.13     570     540   M
    3.78     550     570   F
     2.3     550     410   F
    3.47     490     410   F
    3.34     580     430   M
    3.08     470     390   F
     3.5     550     380   M
    3.52     710     530   M
    3.33     530     360   F
    3.09     600     430   F
       4     540     550   M
    3.96     620     540   F
    3.38     660     540   M
    3.28     340     400   F
    3.77     490     420   F
    2.79     470     410   F
    3.98     630     560   M
    3.63     570     710   F
    3.71     570     680   F
    3.58     520     480   F
    3.68     640     460   M
     3.2     490     380   F
    3.79     450     380   F
    3.59     540     570   F
    3.05     370     280   F
     2.9     560     410   F
     3.7     650     650   F
    2.88     740     550   M
     3.9     380     460   F
    3.73     650     610   F
    3.24     380     460   M
     3.1     550     600   F
    2.73     390     490   F
    3.34     660     470   M
    3.54     490     360   F
       4     760     680   F
       3     560     570   M
     2.6     480     420   F
    3.44     690     660   M
       4     750     630   M
    3.78     530     410   F
     3.7     430     460   F
     3.5     590     510   F
    3.76     380     340   M
    3.24     660     560   F
    3.12     600     410   F
    3.66     690     670   M
    3.11     680     550   F
    3.67     530     490   F
    3.83     610     530   M
    2.97     590     510   F
    3.55     690     460   F
       3     470     420   F
    3.54     710     510   M
    3.81     590     600   F
    3.66     550     480   F
       4     570     600   F
    3.89     710     660   F
    2.75     410     470   M
    3.85     570     530   M
    3.56     540     440   F
    3.78     650     610   M
    3.67     540     590   F
    3.92     600     640   F
    3.52     620     600   M
    3.41     590     510   F
    3.51     580     650   M
    3.01     630     470   F
    3.98     540     550   F
    3.02     460     530   M
    3.36     630     510   F
       4     600     390   F
    3.45     530     530   F
    3.85     540     500   F
       4     630     580   F
     3.2     640     600   F
     2.7     730     550   F
    3.84     360     530   F
    3.58     660     590   F
       3     450     430   F
     3.9     480     520   F
     3.6     710     660   M
    3.39     330     530   F
    3.45     750     620   M
       4     600     580   F
    2.93     680     710   M
    3.31     430     600   F
    3.88     600     540   M
     3.9     480     550   F
    3.96     630     490   M
       3     650     400   M
    3.33     580     420   F
    3.75     620     660   F
     3.3     670     550   M
    3.95     640     590   F
     3.6     640     510   F
     3.8     540     520   F
     3.9     700     560   M
    3.57     740     400   F
    3.65     620     500   F
     3.5     730     410   M
    3.65     500     560   F
    3.68     640     560   F
    2.89     640     650   F
    3.42     610     530   F
    3.52     580     450   F
    3.81     580     530   F
     3.6     550     550   F
    3.17     410     380   F
    3.01     570     570   M
    3.87     680     530   F
    3.66     670     510   F
    3.55     630     620   F
       4     680     510   F
    3.82     700     660   M
       4     560     490   F
     3.4     620     610   M
    3.81     710     440   F
    3.43     740     670   F
       4     380     430   F
     3.5     560     580   F
    3.56     640     430   M
   3.272     670     530   M
       3     490     480   F
     3.7     640     550   M
    3.87     650     560   M
    3.93     690     470   F
       3     420     390   F
    3.42     570     520   M
    3.13     630     410   F
     3.8     440     620   M
     2.5     500     550   F
    3.02     790     320   M
    3.48     540     610   F
    3.36     610     400   F
    2.91     490     440   F
    3.25     550     480   F
    3.37     340     480   F
     3.1     540     430   F
     2.5     330     300   F
    3.94     650     500   F
    3.82     480     460   F
    3.85     680     500   F
    3.85     680     500   F
     3.3     550     510   F
    2.92     590     460   M
    3.77     650     400   M
    2.43     460     410   F
     3.1     730     600   F
       4     690     710   F
    3.94     510     610   F
    2.32     620     530   M
     3.6     470     430   F
    3.28     630     540   M
    2.95     620     530   M
     3.4     530     390   M
    3.46     520     440   M
    3.93     540     740   F
       4     780     710   M
    3.75     610     460   M
       4     350     340   F
